hab_id,basemap_id,qmap_id,popmap_id,npatch,q_autocorr_scale
1,4,13,6,256,
2,1,1,2,20000,63.3916922653916
3,1,2,2,20000,138.576790355975
4,1,3,2,20000,409.892017586712
5,1,4,2,20000,528.671265274237
6,1,5,2,20000,1081.03974891912
7,1,6,2,20000,2342.03251316855
8,1,7,2,20000,3047.28417225722
9,1,1,1,200,63.3916922653916
10,1,2,1,200,138.576790355975
11,1,3,1,200,409.892017586712
12,1,4,1,200,528.671265274237
13,1,5,1,200,1081.03974891912
14,1,6,1,200,2342.03251316855
15,1,7,1,200,3047.28417225722
16,1,14,2,20000,
17,1,14,1,200,
