"sim_id","progress"
56998243,0.09
28031506,1
49073746,NA
36955197,0.11
92384233,1
68245434,1
45710110,NA
32198901,1
72058129,1
68312817,1
19226423,1
88339296,0.5
21774760,1
51319383,1
38998980,1
57361718,1
99623616,0.04
56128830,1
23908814,1
30539560,1
40210774,1
20701015,1
69750966,1
93288393,1
90708480,1
44583448,1
90643924,1
23335650,1
98437589,1
67309232,1
80520677,1
36122988,1
40313729,1
24704561,1
98924611,1
21933492,1
33782071,1
61342978,1
35017585,1
93315898,1
25870868,1
17875937,1
26935178,1
60271150,1
37467645,1
98109252,1
82681407,1
23643074,1
38092637,1
59796096,1
37885658,1
10177884,1
34231260,1
19105034,1
36101173,1
47203585,0.51
62766327,0.48
23543617,0.55
51852922,0.53
72632207,0.49
39125627,0.52
17100458,0.48
78881377,0.52
43648373,0.59
43894812,0.52
36063209,0.59
72620184,0.52
77629478,0.52
98478678,0.52
23541669,0.54
59696044,0.55
43687733,0.57
96403540,1
26345714,1
21098062,1
92967530,1
38499512,1
26165315,1
57241848,1
89251914,1
40087261,1
62899971,1
90318348,1
25872528,1
78095338,1
74480917,1
16461965,1
87681144,1
60896352,1
74452205,1
33581053,1
52401903,1
67731587,1
39435659,1
59503660,1
98579028,1
95947053,1
40204632,1
67912335,1
46860316,1
72646051,1
11419445,1
87705593,1
39229431,1
52278621,1
43967963,1
24764340,1
21654650,1
68798217,1
48738359,1
84472146,1
97180642,1
59142905,1
12379462,1
14956133,1
31965807,1
81291135,1
69766141,1
38667219,1
48327699,1
57351661,1
45061739,1
52817463,1
51985469,0.44
33930915,0.43
53728187,0.49
74201844,0.43
24988396,0.45
65628060,0.5
53639287,0.43
88992927,0.48
25022730,0.49
45485585,0.41
98676718,0.43
49369387,0.43
64132938,0.43
85632169,0.44
90134465,0.43
18133837,0.39
93862666,0.51
78716233,0.45
32273627,0.43
87139125,0.4
67014810,1
32572398,1
21734865,1
18069009,1
41175634,1
30518933,1
54442636,1
28757632,1
49587585,1
88712595,1
38915916,NA
42413311,NA
44674415,1
28698331,1
93209219,1
63819350,1
15074311,1
32791599,1
81692360,1
50868806,1
74326086,1
33403884,1
41732808,1
49308752,1
26615335,1
64907218,1
54237093,1
59430624,1
32417349,1
71959472,1
87343254,1
36409065,1
47720787,1
26387983,1
74009532,1
79074205,0.43
10073011,0.43
18882679,0.38
19378042,0.46
18549991,0.48
27314647,0.45
60929101,0.42
75343252,0.35
11802483,0.4
58723323,0.45
46493064,0.46
28772683,0.38
32279044,0.36
93024481,0.27
65533152,0.43
28249369,1
28255523,1
52156352,1
31838014,1
99886163,1
81778363,1
92858906,1
93586952,1
34657731,1
61829524,1
13332313,1
90942432,1
34274582,0.7
91239985,0.67
77466146,0.77
46942861,0.54
68116827,0.63
58132430,0.63
20518859,0.51
85129641,0.57
49640266,0.56
95254398,0.56
87422109,0.58
68899705,0.58
44763964,0.58
64673592,0.54
53589872,0.48
68099009,1
84053752,1
89607497,1
72553387,1
56007549,1
92960761,1
64528603,NA
32505154,NA
15419826,1
52490644,1
31241645,1
60921661,1
35080273,1
90204384,1
28167637,1
80955850,1
50222884,1
43037413,0
84616777,0
37468608,0
90918099,1
39786288,1
19819933,1
15261225,1
82403557,1
11248478,1
80788131,1
11445019,1
15029301,1
74910803,1
73673916,1
17422359,1
97059616,1
32231525,1
40071641,1
38875682,1
71927104,1
85148930,1
32752593,1
39642429,1
77874015,1
49522460,1
88769649,1
65339720,1
98308795,0
89943140,0
15953724,0
49218861,1
18770198,1
98720781,1
62399955,1
98294452,1
77641649,1
29050664,1
26501655,1
38604924,1
45702982,1
22019029,1
18993262,1
32413396,NA
30951500,1
19730882,1
13278175,1
76502001,1
22655209,1
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
1,NA
41996898,NA
38915445,NA
35528371,NA
21578969,NA
67032184,NA
28591728,NA
13397906,NA
73411521,NA
42701580,1
99588720,NA
99214704,NA
19934451,1
22858904,1
68619180,1
81734680,1
76163791,NA
93162924,1
38225247,1
84857524,1
79415962,1
35764500,1
52071292,1
57938266,1
21719221,1
70036966,1
