"sim_id","progress"
34274582,0.7
91239985,0.67
77466146,0.77
46942861,0.54
68116827,0.63
58132430,0.63
20518859,0.51
85129641,0.57
49640266,0.56
95254398,0.56
87422109,0.58
68899705,0.58
44763964,0.58
64673592,0.54
53589872,0.48
68099009,1
84053752,1
89607497,1
72553387,1
56007549,1
92960761,1
64528603,NA
32505154,NA
15419826,1
52490644,1
31241645,1
60921661,1
35080273,1
90204384,1
28167637,1
80955850,1
50222884,1
43037413,0
84616777,0
37468608,0
90918099,1
39786288,1
19819933,1
15261225,1
82403557,1
11248478,1
80788131,1
11445019,1
15029301,1
74910803,1
73673916,1
17422359,1
97059616,1
32231525,1
40071641,1
38875682,1
71927104,1
85148930,1
32752593,1
39642429,1
77874015,1
49522460,1
88769649,1
65339720,1
98308795,0
89943140,0
15953724,0
49218861,1
18770198,1
98720781,1
62399955,1
98294452,1
77641649,1
29050664,1
26501655,1
38604924,1
45702982,1
22019029,1
18993262,1
22858904,1
68619180,1
81734680,1
93162924,1
38225247,1
84857524,1
79415962,1
35764500,1
52071292,1
57938266,1
21719221,1
70036966,1
91099415,0.88
54975082,0.75
31012424,0.5
19844858,0.44
36542986,0.44
58541395,0.31
16097862,0.31
19144866,0.5
98883199,1
69620763,1
27197378,1
91151795,1
20512958,1
72780635,1
87587053,1
86577230,1
14048182,0.3
13499256,0.29
65022887,0.3
34526419,0.26
25891228,0.34
38136866,0.34
26199555,0.32
25453745,0.35
56332996,0.18
86583379,0.2
53671989,0.2
14747056,0.18
62468461,0.2
89601381,0.15
33485357,0.15
93805014,0.14
29608970,0.15
55537956,0.14
10375124,0.11
37264932,0.22
34335531,0.11
75065782,0.11
58075247,0.16
33793087,0.11
78464706,0.22
62876805,0.22
22551341,0.17
16359937,0.17
11745775,0.18
64787234,0.17
15323064,0.25
66980310,0.22
82473083,0.22
39943072,0.19
74266256,0.15
29733762,0.15
39261911,0.13
39065590,0.13
70224233,0.23
17638429,0.13
62265318,0.13
80429401,0.2
38107645,0.21
71037856,0.2
14924404,0.09
63018585,0.1
93903083,0.09
51595385,0.1
55321095,0.18
67459959,0.18
95163665,0.14
78747160,0.15
61356805,0.16
15787749,0.16
42153471,0.22
13949423,0.22
52154312,0.22
44710735,0.22
57598104,0.24
40207423,0.24
68566632,0.17
52136897,0.16
73044762,0.17
11311782,0.24
22830469,0.24
35169213,0.24
23097621,0.16
18442288,0.16
87190889,0.16
10893535,0.15
90909081,0.16
41053530,0.2
93430527,0.2
72136507,0.2
99080189,0.15
18936787,0.1
47107793,0.23
16327270,0.23
87325548,0.17
42558636,0.17
82134373,0.17
10754600,0.15
61772198,0.2
79871587,0.16
53104310,0.17
41975909,0.1
99379728,0.19
43063291,0.19
57743466,0.19
32411983,0.18
78023350,0.19
33783542,0.18
67376330,0.16
33526917,0.17
65185452,0.17
74990802,0.16
58926620,0.19
68022473,0.19
54703790,0.17
80484937,0.22
18942783,0.22
84882588,0.22
90283115,0.2
46550336,0.2
12368087,0.19
30976005,0.19
36183423,0.19
56525459,0.2
80711918,0.21
11188574,0.2
54614965,0.2
67142238,0.2
54452261,0.21
79004399,0.17
40842231,0.17
54301823,0.17
15598412,0.24
50516131,0.24
44534152,0.17
90832673,0.17
72715734,0.17
74803715,0.17
57190811,0.17
15914967,0.16
78018973,0.19
98964948,0.19
57518284,0.19
28082039,0.19
29446296,0.19
36961364,0.2
78485285,0.19
72331929,0.19
34206915,0.19
28467519,0.19
35192066,0.19
77694536,0.24
11962094,0.25
90452239,0.18
62210595,0.17
38342687,0.19
78735404,0.15
55239407,0.19
74120781,0.15
28142312,0.15
65500550,0.15
26372913,0.15
66488468,0.15
74198342,0.15
97187817,0.15
65702289,0.15
66300991,0.15
65061336,0.15
18513287,0.17
81292345,0.2
97227663,0.2
84488010,0.18
99383100,0.1
79906039,0.1
76784508,0.09
80006696,0.15
40393379,0.14
99023262,0.14
47097622,0.17
80261524,0.16
34846937,0.15
31081588,0.19
77929635,0.16
94640793,0.14
32160504,0.16
11218667,0.11
29481358,0.12
80513064,0.18
60458672,0.17
85748452,0.21
96437916,0.2
94151308,0.2
53938254,0.2
89080595,0.16
29598789,0.16
42138103,0.16
72517219,0.16
44812293,0.16
93121726,0.16
63620581,0.16
38680665,0.16
99183764,0.16
35633597,0.17
14779083,0.16
28979620,0.18
73170336,0.18
96302993,0.14
73320495,0.15
26843923,0.14
39781062,0.19
30069352,0.15
85213242,0.16
48633218,0.16
61097162,0.12
96221277,0.22
99203346,0.2
29518752,0.21
36735035,0.2
65146790,0.17
52131175,0.13
48641237,0.14
61090904,0.12
45434919,0.12
44904490,0.12
79552007,0.25
35465061,0.24
78682621,0.22
19773380,0.21
40809982,0.2
32658759,0.22
11210329,0.22
28131599,0.17
91531824,0.2
98236498,0.2
41045418,0.16
40703967,0.17
31209835,0.17
50651469,0.16
94547703,0.16
58896155,0.18
47372473,0.18
81638927,0.25
98093486,0.24
90979506,0.22
82892434,0.18
76587672,0.13
87582048,0.13
21772665,0.14
63717851,0.17
68474725,0.17
91371036,0.14
89281274,0.16
73097502,0.16
79417252,0.16
48300029,0.16
23666817,0.16
46971691,0.16
33974470,0.16
90826974,0.16
88017658,0.16
38235901,0.18
64880312,0.17
74710959,0.17
72851031,0.17
43817097,0.18
46491696,0.18
11487809,0.2
23856475,0.18
90778848,0.19
53337348,0.2
36715314,0.19
43500659,0.2
16064937,0.2
24151054,0.21
37175940,0.19
64187333,0.2
26995258,0.2
82078983,0.19
14401875,0.19
21428958,0.17
37475499,0.17
50344287,0.2
12169853,0.2
68263924,0.2
56327070,0.16
82976156,0.14
35434048,0.11
40484520,0.11
47278119,0.11
19492255,0.11
82785252,0.15
37977191,0.15
71811184,0.16
29560918,0.17
67905279,0.16
42330719,0.16
60649418,0.15
69822956,0.16
67097950,0.12
67387777,0.19
49851651,0.2
11224296,0.16
54396087,0.16
23141836,0.2
63431940,0.22
88238549,0.2
35181886,0.18
80704012,0.22
97903464,0.2
21115146,0.21
88921482,0.21
81155047,0.2
30918919,0.21
63646819,0.17
60018075,0.17
19908713,0.17
24709059,0.18
55746574,0.21
73015683,0.2
87671678,0.17
31126586,0.2
82129673,0.16
38624956,0.17
85152966,0.16
74016233,0.2
77495619,0.2
22440901,0.2
13274657,0.2
40574075,0.18
48821120,0.18
90264866,0.17
42860413,0.19
98693802,0.21
21689355,0.2
14332616,0.19
86675380,0.17
77616842,0.18
89898054,0.18
15483492,0.18
73338429,0.17
78968529,0.18
35262827,0.17
71204838,0.16
46905639,0.16
87314461,0.17
28418118,0.16
18990325,0.17
15151816,0.17
39884678,0.18
71248944,0.27
59749038,0.24
35525451,0.16
40896807,0.15
71773599,0.15
20254675,0.15
15444893,0.15
98507321,0.14
46689104,0.16
55224208,0.17
15110309,0.2
54971955,0.18
94002338,0.16
31512993,0.15
10608432,0.14
22766266,0.14
19441602,0.14
54852054,0.18
10516981,0.18
68553356,0.22
63864120,0.17
11734868,0.16
36314484,0.16
86141005,0.18
54583650,0.17
37072978,0.17
14553504,0.18
65447887,0.19
58308311,0.17
90982641,0.18
94174298,0.17
98528004,0.18
28502726,0.18
21316691,0.18
77970912,0.17
90789597,0.18
58611796,0.17
36290582,0.23
50315074,0.2
76047649,0.16
73619162,0.18
58084773,0.17
87525423,0.16
30845476,0.17
65724247,0.16
65146974,0.17
60820856,0.05
44739891,0.05
70712410,0.05
48483078,0.05
55444615,0.19
67034399,0.17
51910371,0.19
82490284,0.21
63349016,0.23
55878569,0.17
99902565,0.2
51375444,0.2
47571270,0.2
59604711,0.19
59357231,0.18
81689248,0.19
48412084,0.19
74949101,0.19
57413248,0.2
58427119,0.19
55310792,0.24
16486561,0.2
72834511,0.21
