Name,Tag,Reef,Trip,Depth,Latitude,Longitude,Death,Death_date_left,Death_date_right,Residents,Rank 1,Rank 2,Rank 3,Rank 4,Rank 5,Fish deaths count,Death in Rank 1 or 2,Recruitment,Area_1,Area_2,Area_3,Bleaching,Expansion score,Number of clutches laid per month,Notes
RB136_Trip0,RB136,Bobs,0,6.2,-5.4582167,150.1044167,No,,,3,RB136_A,RB136_B,RB136_C,,,0,No,3,3107.5,2356.28,,No,1,,
RB137_Trip0,RB137,Bobs,0,10.5,-5.4586333,150.10435,No,,,3,RB137_A,RB137_B,RB137_C,,,0,No,3,1921,3312.33,,No,1,,
RB138_Trip0,RB138,Bobs,0,13.7,-5.4587333,150.1044333,No,,,3,RB138_A,RB138_B,RB138_C,,,0,No,3,2595.87,1833.24,,No,0.75,,
RB139_Trip0,RB139,Bobs,0,9.9,-5.4586833,150.1043167,No,,,2,RB139_A,RB139_B,,,,0,No,2,1638.29,1679.67,,No,1,,
RB140_Trip0,RB140,Bobs,0,12.7,-5.4587167,150.10415,No,,,3,RB140_A,RB140_B,RB140_C,,,0,No,3,1056.53,867.732,,No,1,,
RB143_Trip0,RB143,Bobs,0,10.5,-5.45906667,150.1044833,No,,,3,RB143_A,RB143_B,RB143_C,,,0,No,3,1610.92,2119.01,,No,0.75,,
RB144_Trip0,RB144,Bobs,0,7.5,-5.45951667,150.1047333,No,,,2,RB144_A,RB144_B,,,,0,No,2,1445.82,1679.02,,No,1,,
RB145_Trip0,RB145,Bobs,0,5.9,-5.45966667,150.1049,No,,,3,RB145_A,RB145_B,RB145_C,,,0,No,3,1261.95,2027.06,,No,1,,
RB146_Trip0,RB146,Bobs,0,8.7,-5.4596,150.105,No,,,2,RB146_A,RB146_B,,,,0,No,2,1038.68,786.19,,No,1,,
RB149_Trip0,RB149,Bobs,0,12,-5.45995,150.1050167,No,,,3,RB149_A,RB149_B,RB149_C,,,0,No,3,1501.9,2060.9,,No,1,,
RB150_Trip0,RB150,Bobs,0,10.6,-5.46,150.1049333,No,,,4,RB150_A,RB150_B,RB150_C,RB150_D,,0,No,4,1390.22,1343.44,,No,1,,
